,BlobCombine,BlobHit,BlobPotion,CollectPotion,CollectTreasure,Die,GoblinMeleeHit,GoblinRangedHit,JavelinThrow,MinitaurHit,OgreHit,OgreTreasure,ReachStairs,TriggerTrap,UsePortal,EndTurn,EnemyKill
R,0.0,-0.17333329866667357,-0.03333332500000213,0.0,-0.2592592304526781,0.0,-0.06666664444445188,-0.037037032921811174,-0.03333333095238113,-0.10222221540740786,-0.23333321666672502,0.0,0.0,-0.08888885925926912,-0.013333330666667196,-0.1455337681119797,-0.2074073843621425
TC,0.0,0.06666665333333598,0.06666665000000414,0.0,0.49629624115226945,0.0,-0.19999993333335553,-0.037037032921811174,-0.004761904421768731,0.09333332711111153,-0.09999995000002501,0.0,0.0,0.1777777185185383,-0.013333330666667196,0.13420479215116693,-0.10370369218107126
MK,0.0,0.10666664533333757,-0.03333332500000213,0.0,-0.2370370106995914,0.0,0.26666657777780745,0.0740740658436223,0.038095235374149855,0.03555555318518534,0.26666653333339996,0.0,0.0,-0.08888885925926912,0.026666661333334393,0.05664487980406397,0.28148145020576476
